task_name,success,count,mean,median,std,min,max
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,220.0,220.0,,220,220
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,9,86.33333333333333,87.0,11.180339887498945,74,112
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,2,220.0,220.0,0.0,220,220
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,1,8,109.75,104.5,14.906853649053033,96,137
pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,4,220.0,220.0,0.0,220,220
pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,6,135.83333333333334,136.5,13.407709225168428,121,158
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,1,220.0,220.0,,220,220
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,9,107.44444444444444,102.0,13.785056321168142,94,135
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,2,220.0,220.0,0.0,220,220
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,1,8,104.5,104.5,17.037773161000658,82,130
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,3,220.0,220.0,0.0,220,220
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,7,109.0,103.0,9.9498743710662,100,122
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0,1,220.0,220.0,,220,220
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1,9,90.44444444444444,92.0,7.954733042521149,78,107
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,6,220.0,220.0,0.0,220,220
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,4,90.75,90.0,7.847504911329035,82,101
pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,2,220.0,220.0,0.0,220,220
pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,8,118.75,119.5,5.311712126450912,111,125
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,4,220.0,220.0,0.0,220,220
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,1,6,128.33333333333334,123.0,16.354408172314482,114,156
